species,fish_id,site.id,turf,macro,coral,cca,sponge,rubble,rock,other
A. triostegus,at180,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at181,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at182,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at183,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at184,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at185,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at186,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at187,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at188,L1S3,0.966,0.034,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at189,L1S3,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at190,L2S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at191,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at192,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at193,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at194,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at195,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at196,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at197,L2S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at198,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at199,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at200,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at201,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at202,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at203,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at204,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at205,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at206,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at207,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at208,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at209,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at210,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at211,L3S2,0.547,0.000,0.000,0.453,0.000,0.000,0.000,0.000
A. triostegus,at212,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at213,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at214,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at215,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at216,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at217,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at218,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at219,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at220,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at221,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at222,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at223,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at224,L1S1,0.813,0.000,0.000,0.000,0.000,0.000,0.000,0.188
A. triostegus,at225,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at226,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at227,L1S1,0.833,0.000,0.000,0.000,0.000,0.000,0.000,0.167
A. triostegus,at228,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at229,L1S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at230,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at231,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at232,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at233,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at234,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at235,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at236,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at237,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at238,L1S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at239,L1S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at240,L1S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at241,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at242,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at243,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at244,L1S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at245,L1S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at246,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at247,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at248,L2S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at249,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at250,L2S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at251,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at252,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at253,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at254,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at255,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at256,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at257,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at258,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at259,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at260,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at261,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at262,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at263,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at264,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at265,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at266,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at267,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at268,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at269,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at270,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at271,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at272,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at273,L1S3,0.625,0.000,0.000,0.000,0.000,0.000,0.000,0.375
A. triostegus,at274,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at275,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at276,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at277,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at278,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at279,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at280,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at281,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at282,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at283,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at284,L2S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at285,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at286,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at287,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at288,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at289,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at290,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at291,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at292,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at293,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at294,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at295,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at296,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at297,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at298,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at299,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at300,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at301,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at302,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at303,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at304,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at305,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at306,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at307,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at308,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at309,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at310,L1S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at311,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at312,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at313,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at314,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at315,L3S2,0.781,0.219,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at316,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at317,L3S3,0.864,0.000,0.000,0.136,0.000,0.000,0.000,0.000
A. triostegus,at318,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at319,L3S3,0.969,0.000,0.000,0.031,0.000,0.000,0.000,0.000
A. triostegus,at320,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at321,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at322,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at323,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at324,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at325,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at326,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at327,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at328,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at329,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at330,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at331,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at332,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at333,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at334,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at335,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at336,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at337,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at338,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at339,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at340,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at341,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at342,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at343,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at344,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at345,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at346,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at347,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at348,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at349,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at350,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at351,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at352,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at353,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at354,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at355,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at356,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at357,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at358,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at359,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at360,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at361,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at362,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at363,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at364,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at365,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at366,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at367,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at368,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at369,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at370,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at371,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at372,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at373,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at374,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at375,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at376,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at377,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at378,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at379,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at380,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at381,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at382,L1S1,0.966,0.000,0.000,0.034,0.000,0.000,0.000,0.000
A. triostegus,at383,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at384,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at385,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at386,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at387,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at388,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at389,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at390,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at391,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at392,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at393,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at394,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at395,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at396,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at397,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at398,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at399,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at400,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at401,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at402,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at403,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at404,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at405,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at406,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at407,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at408,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at409,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at410,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at411,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at412,L1S1,0.964,0.000,0.000,0.000,0.000,0.000,0.000,0.036
A. triostegus,at413,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at414,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at415,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at416,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at417,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at418,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at419,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at420,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at421,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at422,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at423,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at424,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at425,L2S1,0.918,0.000,0.000,0.082,0.000,0.000,0.000,0.000
A. triostegus,at426,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at427,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at428,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at429,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at430,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at431,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at432,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at433,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at434,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at435,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at436,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at437,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at438,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at439,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at440,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at441,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at442,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at443,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at444,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at445,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at446,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at447,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at448,L3S3,0.985,0.015,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at449,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at450,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at451,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at452,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at453,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at454,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at455,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at456,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at457,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at458,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at459,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at460,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at461,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at462,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at463,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at464,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at465,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at466,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at467,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at468,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at469,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at470,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at471,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at472,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at473,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at474,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at475,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A. triostegus,at476,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
