species,fish_id,site.id,turf,macro,coral,cca,sponge,rubble,rock,other
Z. velifer,zv12,L1S3,0.485,0.515,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv13,L1S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv14,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv15,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv16,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv17,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv18,L2S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv19,L2S1,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv20,L2S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv21,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv22,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv23,L2S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv24,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv25,L2S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv26,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv27,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv28,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv29,L2S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv30,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv31,L3S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv32,L3S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv33,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv34,L3S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv35,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv36,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv37,L3S2,0.273,0.727,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv38,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv39,L3S2,0.200,0.800,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv40,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv41,L3S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv42,L3S3,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv43,L1S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv44,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv45,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv46,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv47,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv48,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv49,L1S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv50,L1S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv51,L1S2,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv52,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv53,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv54,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv55,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv56,L1S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv57,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv58,L1S3,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv59,L1S3,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv60,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv61,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv62,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv63,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv64,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv65,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv66,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv67,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv68,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv69,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv70,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv71,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv72,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv73,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv74,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv75,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv76,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv77,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv78,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv79,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv80,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv81,L3S3,0.632,0.368,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv82,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv83,L3S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv84,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv85,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv86,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv87,L1S2,0.333,0.000,0.667,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv88,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv89,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv90,L1S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv91,L1S3,0.696,0.000,0.304,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv92,L2S1,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv93,L2S1,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv94,L2S1,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv95,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv96,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv97,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv98,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv99,L2S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv100,L2S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv101,L2S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv102,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv103,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv104,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
